activation,n_positive,n_negative,lower_lr,upper_lr,total_loss
linear,1,7,-5,0,0.3471484375
linear,4,7,-5,-5,0.5038330078125
linear,4,7,-5,-4,0.509306640625
linear,4,7,-5,-3,0.48638671875
linear,4,7,-5,-2,0.4500732421875
linear,4,7,-5,-1,0.371748046875
linear,4,7,-5,0,0.3667138671875
linear,7,7,-5,-5,0.5120263671875
linear,7,7,-5,-4,0.50841796875
linear,7,7,-5,-3,0.4989697265625
linear,7,7,-5,-2,0.4623828125
linear,7,7,-5,-1,0.3921044921875
linear,7,7,-5,0,0.3718408203125
linear,1,1,-4,-4,0.48666015625
linear,1,1,-4,-3,0.4897705078125
linear,1,1,-4,-2,0.4865966796875
linear,1,1,-4,-1,0.473505859375
linear,1,1,-4,0,0.4947900390625
linear,4,1,-4,-4,0.4931787109375
linear,4,1,-4,-3,0.4809619140625
linear,4,1,-4,-2,0.406591796875
linear,4,1,-4,-1,0.3329541015625
linear,4,1,-4,0,0.3532421875
linear,7,1,-4,-4,0.4816552734375
linear,7,1,-4,-3,0.493203125
linear,7,1,-4,-2,0.4268994140625
linear,7,1,-4,-1,0.33640625
linear,7,1,-4,0,0.33796875
linear,1,4,-4,-4,0.4881640625
linear,1,4,-4,-3,0.478828125
linear,1,4,-4,-2,0.4105419921875
linear,1,4,-4,-1,0.34005859375
linear,1,4,-4,0,0.34921875
linear,4,4,-4,-4,0.4810498046875
linear,4,4,-4,-3,0.4531396484375
linear,4,4,-4,-2,0.4201806640625
linear,4,4,-4,-1,0.3195947265625
linear,4,4,-4,0,0.3718701171875
linear,7,4,-4,-4,0.486669921875
linear,7,4,-4,-3,0.4938818359375
linear,7,4,-4,-2,0.41216796875
linear,7,4,-4,-1,0.3373486328125
linear,7,4,-4,0,0.344365234375
linear,1,7,-4,-4,0.495595703125
